"Region","Lat","Long","TotalCases","Average","SD"
"Afghanistan/",33.93911,67.709953,129988469,113725.694663167,73761.4463054765
"Albania/",41.1533,20.1683,185562654,162347.028871391,124244.154630388
"Algeria/",28.0339,1.6596,182741650,159878.95888014,100780.502175132
"Andorra/",42.5063,1.5218,24547525,21476.3998250219,18129.6296829203
"Angola/",-11.2027,17.8739,60025203,52515.4881889764,42139.4164159318
"Antarctica/",-71.9499,23.347,4961,4.34033245844269,5.37870636873853
"Antigua and Barbuda/",17.0608,-61.7964,4310255,3771.00174978128,3756.03109827453
"Argentina/",-38.4161,-63.6167,5625482921,4921682.3455818,3829727.71194144
"Armenia/",40.0691,45.0382,285491323,249773.685914261,163789.604600643
"Australia/Australian Capital Territory",-35.4735,149.0124,68002520,59494.7681539808,87412.6406065334
"Australia/New South Wales",-33.8688,151.2093,1235098031,1080575.70516185,1497649.68100391
"Australia/Northern Territory",-12.4634,130.8456,33394958,29216.9361329834,41498.9571311199
"Australia/Queensland",-27.4698,153.0251,557839164,488048.262467192,696101.899652447
"Australia/South Australia",-34.9285,138.6007,253224568,221543.804024497,330151.007273857
"Australia/Tasmania",-42.8821,147.3272,81996866,71738.290463692,107241.363565462
"Australia/Victoria",-37.8136,144.9631,927696252,811632.7664042,1106311.39135801
"Australia/Western Australia",-31.9505,115.8605,351612522,307622.503937008,493783.827593265
"Austria/",47.5162,14.5501,2210457634,1933908.6911636,2157325.2024413
"Azerbaijan/",40.1431,47.5769,493546661,431799.353455818,322581.51122245
"Bahamas/",25.025885,-78.035889,21502145,18812.0253718285,14464.4509430636
"Bahrain/",26.0275,50.55,357306683,312604.272090989,256710.216247962
"Bangladesh/",23.685,90.3563,1309367681,1145553.52668416,776544.108225723
"Barbados/",13.1939,-59.5432,39648490,34688.0927384077,41884.3238973294
"Belarus/",53.7098,27.9534,593651097,519379.787401575,384887.244915525
"Belgium/",50.8333,4.469936,2280497649,1995186.04461942,1808751.95359469
"Belize/",17.1899,-88.4976,34174927,29899.3237095363,27460.0898263899
"Benin/",9.3077,2.3158,16903440,14788.6614173228,11698.4205521529
"Bhutan/",27.5142,90.4336,22329795,19536.1286089239,27001.9531234306
"Bolivia/",-16.2902,-63.5887,605712604,529932.28696413,414859.661644258
"Bosnia and Herzegovina/",43.9159,17.6791,247573190,216599.46631671,152193.938672413
"Botswana/",-22.3285,24.6849,171155988,149742.771653543,136450.704429157
